,gender,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus
33136,F,N,Y,1,99000,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,3,31,7,1,0
33199,F,N,N,0,45000,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,2,39,14,1,0
33205,F,N,Y,0,270000,Working,Secondary / secondary special,Married,Municipal apartment,Security staff,2,43,2,1,1
33502,F,N,Y,1,135000,Working,Higher education,Married,House / apartment,Accountants,3,38,1,1,1
33592,F,N,Y,2,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,4,42,8,1,1
33741,F,N,Y,2,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,4,42,8,1,0
33768,F,Y,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,36,4,1,1
33927,F,Y,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,36,4,1,0
34110,M,Y,Y,2,139500,Working,Secondary / secondary special,Married,House / apartment,Drivers,4,48,15,1,1
34136,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,52,7,1,0
34144,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,52,7,1,1
768710,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,2,60,0,0,1
768751,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,1
34185,F,N,Y,1,180000,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,3,31,2,1,1
34199,F,Y,Y,0,112500,Pensioner,Higher education,Married,House / apartment,Not identified,2,62,0,0,1
34231,F,Y,Y,0,157500,Working,Higher education,Married,House / apartment,Sales staff,2,33,2,1,1
34289,F,Y,Y,0,157500,Working,Higher education,Married,House / apartment,Sales staff,2,33,2,1,0
34295,F,N,Y,0,54000,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,61,0,0,1
34321,F,N,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,49,19,1,0
34366,F,N,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,49,19,1,1
34445,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,46,2,1,1
34554,F,N,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,46,2,1,0
34622,F,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,39,2,1,1
34635,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,3,50,1,1,1
34696,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,3,50,1,1,0
768787,M,Y,Y,1,450000,Pensioner,Secondary / secondary special,Married,House / apartment,Core staff,3,50,1,1,0
768804,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,50,1,1,0
34854,F,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,57,0,0,0
34870,F,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,57,0,0,1
35027,F,N,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Managers,3,28,1,1,0
35036,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,1
35083,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,0
768821,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,2,63,2,1,1
35307,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,2,63,2,1,0
35404,F,N,Y,1,360000,Working,Secondary / secondary special,Married,House / apartment,Managers,3,29,3,1,0
35406,F,N,Y,1,360000,Working,Secondary / secondary special,Married,House / apartment,Managers,3,29,3,1,1
35446,F,Y,Y,0,81000,Pensioner,Higher education,Married,House / apartment,Not identified,2,56,0,0,0
35495,F,Y,Y,0,81000,Pensioner,Higher education,Married,House / apartment,Not identified,2,56,0,0,1
35539,M,Y,Y,0,243000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,38,6,1,1
35559,M,Y,Y,0,243000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,38,6,1,0
35573,F,N,N,0,94500,Working,Secondary / secondary special,Widow,Rented apartment,Sales staff,1,61,2,1,1
35686,F,Y,Y,2,270000,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,4,35,1,1,0
35691,F,Y,Y,2,270000,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,4,35,1,1,1
35759,F,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,47,18,1,1
35792,F,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,47,18,1,0
36028,F,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,1
36089,F,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,3,38,7,1,0
36125,F,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,3,38,7,1,1
36311,M,Y,Y,0,337500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,41,3,1,1
36398,M,Y,Y,0,337500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,41,3,1,0
36491,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,32,2,1,1
36498,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,32,2,1,0
36525,F,N,N,0,256500,Commercial associate,Higher education,Married,House / apartment,HR staff,2,31,7,1,0
36533,F,N,N,0,256500,Commercial associate,Higher education,Married,House / apartment,HR staff,2,31,7,1,1
36604,F,N,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,3,38,7,1,1
36632,M,Y,Y,0,126000,Working,Higher education,Married,House / apartment,Sales staff,2,50,9,1,0
36686,F,N,Y,0,67500,Working,Secondary / secondary special,Separated,Municipal apartment,Sales staff,1,37,2,1,0
36698,M,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,50,4,1,0
36733,M,Y,N,1,270000,Working,Incomplete higher,Married,House / apartment,Managers,3,42,9,1,1
36785,M,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,1
36832,F,N,Y,0,121500,Commercial associate,Higher education,Single / not married,Rented apartment,Sales staff,1,31,10,1,0
36843,F,N,Y,0,121500,Commercial associate,Higher education,Single / not married,Rented apartment,Sales staff,1,31,10,1,1
36887,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,55,0,1,1
37003,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,55,0,1,0
37174,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,30,5,1,0
37364,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,30,5,1,1
37546,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,33,0,1,1
37632,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,33,0,1,0
37676,M,Y,Y,2,99000,State servant,Secondary / secondary special,Married,With parents,Drivers,4,46,8,1,1
37845,F,N,Y,0,292500,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,2,46,2,1,1
37905,F,N,Y,1,135000,Working,Academic degree,Civil marriage,House / apartment,Not identified,3,48,20,1,0
37939,F,N,Y,0,315000,Pensioner,Secondary / secondary special,Married,Municipal apartment,Not identified,2,56,0,0,1
37966,F,N,Y,0,315000,Pensioner,Secondary / secondary special,Married,Municipal apartment,Not identified,2,56,0,0,0
38101,F,N,Y,1,33300,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,3,63,0,0,0
38148,M,Y,Y,2,697500,Commercial associate,Higher education,Separated,House / apartment,Sales staff,3,39,14,1,1
38160,F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,51,14,1,0
38205,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,2,52,2,1,0
38249,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,2,52,2,1,1
38272,M,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,35,14,1,0
38319,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,47,0,1,0
38353,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,47,0,1,1
38399,F,N,Y,0,202500,Working,Secondary / secondary special,Widow,House / apartment,Core staff,1,56,14,1,1
38515,F,N,Y,1,198000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,3,51,0,0,0
38518,F,N,Y,1,675000,Commercial associate,Higher education,Married,House / apartment,Sales staff,3,44,3,1,0
38536,F,N,Y,1,675000,Commercial associate,Higher education,Married,House / apartment,Sales staff,3,44,3,1,1
38669,F,N,Y,0,101250,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,1
38685,F,N,Y,1,166500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,56,21,1,1
38704,F,N,Y,1,166500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,56,21,1,0
38815,F,Y,Y,0,292500,Working,Higher education,Married,House / apartment,Not identified,2,53,12,1,1
38908,M,N,Y,1,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,50,0,1,1
38930,F,N,Y,0,90000,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,62,0,0,1
39174,F,N,Y,0,90000,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,62,0,0,0
39185,M,Y,Y,1,675000,Working,Higher education,Married,House / apartment,Managers,3,45,12,1,0
39253,M,Y,Y,1,675000,Working,Higher education,Married,House / apartment,Managers,3,45,12,1,1
39267,F,N,N,0,54000,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,57,0,0,0
39283,F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,52,2,1,1
39347,F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,52,2,1,0
39441,F,N,N,0,58500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1
39481,F,N,N,0,58500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0
39544,F,N,N,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,1,28,6,1,1
39551,F,N,N,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,1,28,6,1,0
39631,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,42,6,1,0
39641,F,N,N,0,225000,State servant,Higher education,Single / not married,With parents,Core staff,1,29,4,1,0
39655,F,N,N,0,225000,Working,Higher education,Separated,House / apartment,Laborers,1,36,11,1,1
39727,F,N,N,0,225000,Working,Higher education,Separated,House / apartment,Laborers,1,36,11,1,0
39751,F,Y,Y,0,675000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,52,2,1,1
39817,F,Y,Y,0,675000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,52,2,1,0
39877,M,N,Y,0,171000,Pensioner,Higher education,Civil marriage,House / apartment,Not identified,2,52,0,0,0
39899,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,38,3,1,0
39967,M,Y,Y,1,225000,State servant,Higher education,Married,House / apartment,Core staff,3,35,6,1,0
40015,M,Y,Y,1,225000,State servant,Higher education,Married,House / apartment,Core staff,3,35,6,1,1
40101,M,Y,N,0,310500,Working,Higher education,Single / not married,House / apartment,Laborers,1,28,1,1,0
40128,M,Y,N,0,310500,Working,Higher education,Single / not married,House / apartment,Laborers,1,28,1,1,1
40264,F,N,Y,2,112500,Working,Higher education,Civil marriage,House / apartment,Sales staff,4,30,0,1,0
40309,F,N,Y,1,225000,Working,Higher education,Civil marriage,House / apartment,Sales staff,3,30,6,1,0
40388,F,N,Y,1,67500,Commercial associate,Higher education,Married,House / apartment,Laborers,3,35,4,1,1
40417,F,N,Y,1,67500,Commercial associate,Higher education,Married,House / apartment,Laborers,3,35,4,1,0
40433,F,N,Y,0,135000,Pensioner,Higher education,Married,House / apartment,Not identified,2,63,0,0,0
40547,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Managers,2,51,18,1,1
40717,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Managers,2,51,18,1,0
40770,F,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,53,2,1,0
40780,F,N,N,0,135000,Working,Incomplete higher,Single / not married,Rented apartment,Accountants,1,32,5,1,1
40847,F,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,40,12,1,1
40957,F,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,40,12,1,0
41083,M,Y,Y,0,110250,Working,Higher education,Single / not married,House / apartment,Not identified,1,39,15,1,1
41244,M,Y,Y,0,110250,Working,Higher education,Single / not married,House / apartment,Not identified,1,39,15,1,0
41351,F,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,3,43,1,1,1
41408,F,N,Y,2,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,4,61,0,0,1
41437,F,N,Y,2,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,4,61,0,0,0
41471,F,Y,Y,1,180000,Commercial associate,Higher education,Married,House / apartment,Core staff,3,33,0,1,0
41484,F,Y,Y,1,180000,Commercial associate,Higher education,Married,House / apartment,Core staff,3,33,0,1,1
41523,F,N,Y,0,90000,Working,Higher education,Single / not married,House / apartment,Core staff,1,42,3,1,1
41582,M,N,N,1,472500,Commercial associate,Higher education,Married,With parents,Not identified,3,25,2,1,1
768862,M,N,N,1,472500,Pensioner,Higher education,Married,With parents,Not identified,3,25,2,1,0
41597,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,47,0,1,1
41606,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,47,0,1,0
768918,M,N,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,2,47,0,1,0
41713,F,N,Y,0,90000,State servant,Higher education,Married,House / apartment,Cooking staff,2,49,10,1,0
41743,F,N,Y,0,90000,State servant,Higher education,Married,House / apartment,Cooking staff,2,49,10,1,1
41988,M,Y,Y,3,270000,Working,Higher education,Married,House / apartment,Not identified,5,42,1,1,1
42100,M,Y,Y,3,270000,Working,Higher education,Married,House / apartment,Not identified,5,42,1,1,0
42157,M,N,Y,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,41,4,1,0
42169,F,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,2,39,5,1,0
42177,F,N,N,0,67500,Working,Secondary / secondary special,Married,Municipal apartment,Not identified,2,32,2,1,1
42195,F,N,N,0,67500,Working,Secondary / secondary special,Married,Municipal apartment,Not identified,2,32,2,1,0
42232,M,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,55,18,1,1
42513,F,N,Y,2,67500,State servant,Incomplete higher,Married,With parents,Core staff,4,37,0,1,0
42516,F,N,Y,2,67500,State servant,Incomplete higher,Married,With parents,Core staff,4,37,0,1,1
42308,M,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,55,18,1,0
42545,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,51,20,1,1
42605,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,51,20,1,0
42704,F,N,Y,0,247500,Working,Higher education,Married,House / apartment,Managers,2,61,1,1,1
42726,F,N,Y,0,247500,Working,Higher education,Married,House / apartment,Managers,2,61,1,1,0
42829,F,N,Y,1,121500,Working,Higher education,Married,House / apartment,Not identified,3,31,2,1,1
42859,F,N,Y,1,121500,Working,Higher education,Married,House / apartment,Not identified,3,31,2,1,0
42998,F,N,Y,0,189000,Pensioner,Incomplete higher,Widow,House / apartment,Not identified,1,60,0,0,1
43045,F,N,Y,0,189000,Pensioner,Incomplete higher,Widow,House / apartment,Not identified,1,60,0,0,0
43201,F,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,Private service staff,2,55,10,1,1
43566,F,Y,Y,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,1
43583,F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,1,52,6,1,1
43634,F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,1,52,6,1,0
43662,M,N,Y,1,270000,State servant,Secondary / secondary special,Married,House / apartment,Laborers,3,47,1,1,1
43797,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,27,3,1,0
43856,F,N,Y,0,121500,Working,Secondary / secondary special,Married,With parents,Core staff,2,37,14,1,0
43880,F,N,Y,0,121500,Working,Secondary / secondary special,Married,With parents,Core staff,2,37,14,1,1
43934,F,N,Y,0,196650,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,59,7,1,0
43971,F,N,Y,0,202500,Pensioner,Higher education,Married,House / apartment,Not identified,2,58,0,0,1
43992,F,N,Y,0,202500,Pensioner,Higher education,Married,House / apartment,Not identified,2,58,0,0,0
44072,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,53,2,1,1
44081,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,53,2,1,0
44099,F,Y,N,1,225000,Working,Higher education,Civil marriage,House / apartment,Core staff,3,32,2,1,1
44167,F,Y,N,1,225000,Working,Higher education,Civil marriage,House / apartment,Core staff,3,32,2,1,0
44248,F,Y,Y,1,166500,Working,Higher education,Married,House / apartment,Core staff,3,33,1,1,0
44267,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,2,23,1,1,0
44284,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,0
44293,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,1
44302,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,29,3,1,0
44329,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,33,6,1,0
44385,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,33,6,1,1
44669,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,Laborers,2,30,4,1,0
44720,M,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,30,1,1,0
44724,M,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,30,1,1,1
44744,F,N,Y,1,157500,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,3,44,5,1,0
44754,F,N,Y,1,157500,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,3,44,5,1,1
44790,F,N,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,42,7,1,0
44824,M,Y,Y,4,292500,Working,Secondary / secondary special,Married,House / apartment,Laborers,6,39,1,1,0
44871,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1
44897,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0
44956,F,N,Y,0,144000,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,50,27,1,1
44979,F,N,Y,0,144000,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,50,27,1,0
45187,F,N,N,0,202500,Working,Higher education,Married,House / apartment,Core staff,2,53,13,1,1
45270,F,N,N,0,202500,Working,Higher education,Married,House / apartment,Core staff,2,53,13,1,0
45328,F,N,Y,0,112500,Pensioner,Higher education,Widow,House / apartment,Not identified,1,61,0,0,1
45399,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,With parents,Laborers,2,36,6,1,0
45408,M,N,Y,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,1
45472,M,N,Y,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,0
45490,F,Y,N,1,306000,Working,Higher education,Married,House / apartment,Not identified,3,26,4,1,0
45495,F,Y,N,1,306000,Working,Higher education,Married,House / apartment,Not identified,3,26,4,1,1
45577,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,2,58,4,1,1
45786,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,2,58,4,1,0
45871,F,N,Y,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,3,40,2,1,0
45876,M,Y,Y,1,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,Drivers,2,33,1,1,1
45904,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,50,1,1,0
45911,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,50,1,1,1
45917,M,Y,Y,0,360000,Working,Incomplete higher,Married,House / apartment,Sales staff,2,28,0,1,0
45933,M,Y,Y,0,360000,Working,Incomplete higher,Married,House / apartment,Sales staff,2,28,0,1,1
46072,F,N,N,0,76500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,42,13,1,0
46081,F,N,Y,2,126000,Working,Higher education,Married,House / apartment,High skill tech staff,4,35,13,1,1
46122,F,N,Y,2,126000,Working,Higher education,Married,House / apartment,High skill tech staff,4,35,13,1,0
46135,M,N,N,0,270000,State servant,Incomplete higher,Married,House / apartment,Not identified,2,27,4,1,1
46308,F,N,N,1,40500,State servant,Secondary / secondary special,Married,Rented apartment,Cooking staff,3,36,5,1,0
46324,F,N,N,1,40500,State servant,Secondary / secondary special,Married,Rented apartment,Cooking staff,3,36,5,1,1
46351,F,Y,Y,0,247500,Working,Incomplete higher,Separated,House / apartment,Accountants,1,54,3,1,0
46370,F,Y,Y,0,247500,Working,Incomplete higher,Separated,House / apartment,Accountants,1,54,3,1,1
46404,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,60,0,0,0
46418,M,Y,Y,1,306000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,3,53,3,1,0
46448,F,Y,Y,0,360000,Pensioner,Higher education,Married,House / apartment,Not identified,2,59,0,0,0
46530,F,N,Y,0,225000,State servant,Higher education,Married,House / apartment,Not identified,2,53,6,1,0
46571,F,N,Y,0,225000,State servant,Higher education,Married,House / apartment,Not identified,2,53,6,1,1
46517,F,Y,Y,0,360000,Pensioner,Higher education,Married,House / apartment,Not identified,2,59,0,0,1
46615,M,Y,Y,1,189000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Sales staff,3,47,4,1,1
46656,F,Y,Y,0,270000,Working,Incomplete higher,Married,House / apartment,Not identified,2,31,6,1,1
46677,F,N,Y,0,99000,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,2,42,1,1,0
46687,F,Y,Y,3,126000,Working,Higher education,Married,House / apartment,Managers,5,42,0,1,1
46707,F,Y,Y,3,126000,Working,Higher education,Married,House / apartment,Managers,5,42,0,1,0
46761,F,Y,Y,0,225000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,0
46871,F,Y,Y,0,225000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,1
46916,M,N,Y,0,157500,Working,Higher education,Married,House / apartment,Not identified,2,33,8,1,1
46990,M,N,Y,0,157500,Working,Higher education,Married,House / apartment,Not identified,2,33,8,1,0
47126,F,N,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,2,59,1,1,0
47198,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,37,0,0,0
47216,F,Y,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,0
47227,F,N,Y,0,292500,Working,Higher education,Civil marriage,House / apartment,Managers,2,35,14,1,0
47288,F,N,Y,0,292500,Working,Higher education,Civil marriage,House / apartment,Managers,2,35,14,1,1
47312,M,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,3,37,3,1,0
47338,M,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,3,37,3,1,1
47433,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,38,1,1,0
47577,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,38,1,1,1
47812,M,N,Y,0,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,Cleaning staff,1,52,10,1,1
47842,M,N,Y,0,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,Cleaning staff,1,52,10,1,0
48051,M,Y,Y,1,225000,Working,Incomplete higher,Married,House / apartment,Managers,3,37,0,1,1
48142,M,Y,Y,2,337500,Working,Incomplete higher,Married,House / apartment,Laborers,4,34,4,1,0
48146,M,Y,Y,2,337500,Working,Incomplete higher,Married,House / apartment,Laborers,4,34,4,1,1
48165,F,N,Y,1,180000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Core staff,2,51,5,1,0
48167,F,N,Y,1,180000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Core staff,2,51,5,1,1
48278,F,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,42,9,1,0
48404,F,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,42,9,1,1
48532,F,N,Y,2,202500,Working,Lower secondary,Married,House / apartment,Laborers,4,37,14,1,1
48544,F,N,Y,2,202500,Working,Lower secondary,Married,House / apartment,Laborers,4,37,14,1,0
48618,F,N,Y,1,243000,Working,Higher education,Married,House / apartment,Core staff,3,40,16,1,1
48640,F,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,47,8,1,0
48663,F,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,47,8,1,1
48687,F,Y,Y,1,630000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,49,1,1,0
48746,F,Y,Y,1,630000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,49,1,1,1
48904,F,Y,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,3,47,3,1,1
48944,F,Y,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,3,47,3,1,0
48980,F,N,Y,0,135000,Commercial associate,Higher education,Widow,House / apartment,Sales staff,1,37,4,1,1
48988,F,N,Y,0,189000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,58,0,0,1
49000,F,N,Y,0,189000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,58,0,0,0
49019,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,29,7,1,1
